"Model","Parameters","Sigma.squared","Log.Likelihood","AIC","AICc","BIC","Delta.AICc"
"SARIMA(3,0,0)x(0,1,1)[12]",5,0.31786952928063,-153.107386542084,1.89413555407243,1.89634013961035,2.00570569619397,0
"SARIMA(2,0,1)x(0,1,1)[12]",5,0.318216056887956,-153.229413446069,1.89558825531034,1.89779284084826,2.00715839743189,0.00145270123791374
"SARIMA(2,0,0)x(0,1,1)[12]",4,0.331204849118252,-155.636321380222,1.91233715928835,1.91379786627053,2.00531227772297,0.017457726660185
