"Model.ID","Model","Drift.Estimate","Drift.Standard.Error","Drift.P.value","Decision"
"od_ar2","SARIMA(2,1,0) x (1,0,0)[12]",0.235264692670859,0.197325767492776,0.233157181808099,"Omit drift"
"od_ar2_sarma11","SARIMA(2,1,0) x (1,0,1)[12]",0.246254573932063,0.330047797098021,0.455596188657337,"Omit drift"
