"Model","Parameter","Estimate","Standard.Error","t.value","p.value"
"SARIMA(3,0,0)x(0,1,1)[12]","ar1",1.8401,0.0763,24.1203,0
"SARIMA(3,0,0)x(0,1,1)[12]","ar2",-1.0371,0.1422,-7.2916,0
"SARIMA(3,0,0)x(0,1,1)[12]","ar3",0.1767,0.0781,2.2613,0.0251
"SARIMA(3,0,0)x(0,1,1)[12]","sma1",-0.8806,0.0802,-10.9829,0
"SARIMA(3,0,0)x(0,1,1)[12]","constant",0.2833,0.0371,7.637,0
