"Model","Parameter","Estimate","Standard.Error","t.value","p.value"
"SARIMA(2,0,0)x(0,1,1)[12]","ar1",1.7103,0.051,33.5574,0
"SARIMA(2,0,0)x(0,1,1)[12]","ar2",-0.7358,0.0512,-14.361,0
"SARIMA(2,0,0)x(0,1,1)[12]","sma1",-0.851,0.0692,-12.2913,0
"SARIMA(2,0,0)x(0,1,1)[12]","constant",0.2871,0.0341,8.415,0
